timestamp,src_ip,dst_ip,protocol,size
1776062465.1370113,52.114.113.249,10.52.3.136,17,154
1776062465.1385744,52.114.113.249,10.52.3.136,17,149
1776062465.1391878,52.114.113.249,10.52.3.136,17,164
1776062465.1400955,20.189.173.23,10.52.3.136,6,60
1776062465.1410508,52.114.113.249,10.52.3.136,17,158
1776062465.1414912,52.114.113.249,10.52.3.136,17,154
1776062465.143588,10.52.3.136,142.251.157.119,17,71
1776062465.144657,52.114.113.249,10.52.3.136,17,156
1776062465.1456132,10.52.0.5,224.0.0.5,89,106
1776062465.1491742,10.52.3.136,172.64.155.209,6,1454
1776062465.1497555,10.52.3.136,172.64.155.209,6,1454
1776062465.1507738,10.52.3.136,172.64.155.209,6,1454
1776062465.1514015,10.52.3.136,172.64.155.209,6,1454
1776062465.1519327,10.52.3.136,172.64.155.209,6,1454
1776062465.1523323,10.52.3.136,172.64.155.209,6,1234
1776062465.1528416,10.52.3.136,172.64.155.209,6,137
1776062465.1536958,10.52.3.136,172.64.155.209,6,1454
1776062465.154467,10.52.3.136,172.64.155.209,6,1454
1776062465.155013,10.52.3.136,172.64.155.209,6,1454
1776062465.1555889,10.52.3.136,172.64.155.209,6,1454
1776062465.1562505,10.52.3.136,172.64.155.209,6,1454
1776062465.1566653,10.52.3.136,172.64.155.209,6,1253
1776062465.1569977,10.52.3.136,172.64.155.209,6,133
1776062465.1638954,52.114.113.249,10.52.3.136,17,146
1776062465.1670084,52.114.113.249,10.52.3.136,17,156
1776062465.180706,142.251.157.119,10.52.3.136,17,66
1776062465.1831372,52.114.113.249,10.52.3.136,17,158
1776062465.202769,52.114.113.249,10.52.3.136,17,156
1776062465.2687352,10.52.3.136,52.114.113.249,17,158
1776062465.2774348,52.114.113.249,10.52.3.136,17,147
1776062465.2777996,52.114.113.249,10.52.3.136,17,150
1776062465.2782772,52.114.113.249,10.52.3.136,17,151
1776062465.2785778,104.18.39.21,10.52.3.136,6,60
1776062465.2819126,52.114.113.249,10.52.3.136,17,154
1776062465.2840872,10.52.4.101,224.0.0.251,17,87
1776062465.288917,172.64.155.209,10.52.3.136,6,60
1776062465.289414,172.64.155.209,10.52.3.136,6,60
1776062465.2896466,172.64.155.209,10.52.3.136,6,60
1776062465.2898633,172.64.155.209,10.52.3.136,6,60
1776062465.2900941,172.64.155.209,10.52.3.136,6,60
1776062465.2903402,172.64.155.209,10.52.3.136,6,60
1776062465.2905545,172.64.155.209,10.52.3.136,6,60
1776062465.2907588,172.64.155.209,10.52.3.136,6,60
1776062465.303765,52.114.113.249,10.52.3.136,17,163
1776062465.31798,10.52.2.20,224.0.0.251,17,110
1776062465.4210458,52.114.113.249,10.52.3.136,17,154
1776062465.421604,52.114.113.249,10.52.3.136,17,145
1776062465.4220948,52.114.113.249,10.52.3.136,17,114
1776062465.422593,172.64.155.209,10.52.3.136,6,592
1776062465.4232545,172.64.155.209,10.52.3.136,6,1035
1776062465.423611,52.114.113.249,10.52.3.136,17,148
1776062465.4239883,172.64.155.209,10.52.3.136,6,85
1776062465.4244063,172.64.155.209,10.52.3.136,6,405
1776062465.4248579,172.64.155.209,10.52.3.136,6,1035
1776062465.425228,52.114.113.249,10.52.3.136,17,147
1776062465.4254766,172.64.155.209,10.52.3.136,6,85
1776062465.4258332,52.114.113.249,10.52.3.136,17,147
1776062465.426168,104.18.39.21,10.52.3.136,6,139
1776062465.426483,10.52.3.136,172.64.155.209,6,54
1776062465.426822,10.52.3.136,172.64.155.209,6,54
1776062465.4270318,10.52.3.136,172.64.155.209,6,54
1776062465.4273033,52.114.113.249,10.52.3.136,17,147
1776062465.4275572,10.52.3.136,172.64.155.209,6,89
1776062465.4329617,10.52.3.136,52.114.113.249,17,158
1776062465.4333491,10.52.3.136,52.114.113.249,17,158
1776062465.4337249,10.52.4.101,239.255.255.250,17,167
1776062465.4415944,52.114.113.249,10.52.3.136,17,146
1776062465.461408,10.52.3.136,104.18.39.21,6,54
